,names,gender
8510,tamana,male
14719,santu,female
2631,govind rao,male
10732,manju salvi,female
14725,rajina,female
3709,kundan kr,male
10502,karishama,female
2603,gora singh,male
12389,akash,female
10064,nursa khatoon,female
7238,suraj puri,male
11425,shilpa rani,female
14934,sayana,female
10058,babita,female
149,girwer singh,male
9182,birmati,female
5749,ravinder prakash,male
3478,mukish kumar,male
11504,sujata,female
15048,gajana devi,female
7602,narender singh,male
8972,nipam,female
10520,neha gupta,female
13744,chanchal,female
1306,barjesh,male
11221,puspha,female
11048,sabba,female
7195,samser khan,male
6927,babar ali khan,male
8811,divya kor,female
11398,bhavna makwana,female
8279,nikita,male
2832,umardeen,male
5466,abhishek singh,male
11560,tania,female
14803,raishma,female
13245,kumari bharti,female
8590,guljan,female
13780,poonam  kewat,female
4058,sashi,male
6813,madan singh,male
3716,rampati,male
5092,satya dev singh,male
1983,harbhajan singh,male
6310,randheer singh ,male
789,shkur khan,male
1609,deepu,male
553,jimmi,male
7257,kiran or vikram,male
9560,diwansi,female
6269,akshpaat,male
5566,sanjeev ,male
14759,nasim banu,female
11862,shukramani,female
11394,anita vohra,female
13370,anjila,female
14578,sejan,female
14690,nency,female
11054,reetima,female
6040,shivam avwsthi,male
13895,sundari,female
3547,rajkiran,male
13680,begum bano,female
3000,mehphal singh,male
10340,rajkanta,female
5468,rajaram,male
2954,nathuram,male
12340,smt ishawari,female
8891,seema sinha,female
11061,gulshafa,female
9085,ravinder kaur ,female
205,vivek auhari,male
2778,kirshanpal,male
1618,mukul ,male
1424,bhoop singh,male
11559,manmeet kaur,female
2441,suwa lal,male
13005,smt sushila rawat,female
5080,durg parsad dikshit,male
909,jakir,male
14420,vishakha anand,female
12468,soni khati,female
6671,mangilal,male
2728,hardas singh,male
11835,hari ram,female
3728,kamrudeen,male
11155,moka,female
8727,smt kristina,female
10480,km aksha ,female
11575,neelam kaur,female
13294,kumari asha,female
2776,mohd. ahmad,male
8495,narsingh pal,male
1936,mohd. vashim,male
15281,dimpal,female
3399,ramjiyawan,male
413,nitin chahal,male
6991,pardeep hemraj,male
5567,anirudh,male
1825,lav,male
5400,adisan,male
898,mho. majid,male
11083,km0 versha,female
11771,fooljhnah,female
4017,ramdin verma,male
2234,ajeet,male
5718,amarapal,male
6838,surender mandal,male
10439,annu ,female
12299,momita dass,female
14870,vijay wati,female
9935,rizwana,female
3770,raj kumar mishra,male
6705,rabpreet singh,male
10491,moharan  devi,female
5346,suraj kumar,male
14741,sanaali,female
1516,dhananjay singh,male
4364,piyush singh,male
4151,mukhtar,male
9803,raveena,female
466,vakeel,male
1556,dharam dass,male
7814,manoj kaushik,male
6248,somnath batra,male
10381,prinka bhanshali,female
7793,yogeshwar,male
9065,darkash,female
3441,pawansingh,male
1381,sh jainarayan,male
828,rahul rawat,male
3259,raju jogi,male
8460,sanjay ,male
12888,jatinder kaur,female
1410,alok yadav,male
6637,pappe das,male
13075,smt munna kumari,female
5923,tushal bhandri,male
5353,ravi kumar ,male
3722,rajesh aggarwal,male
12909,nisha kapoor,female
14571,मन्जू,female
8900,saviti,female
3282,bansilal,male
3864,sunny mann,male
5719,mazhar,male
2450,kushal sharma,male
9868,laxmi devi,female
1931,amardeep,male
3971,subhash singh bisht,male
293,vijay rai,male
7756,jatin sharma,male
8924,kanta,female
5919,mohit ,male
11331,shri. sarwan bairwa,female
2964,diljan,male
274,mohsin khan,male
10408,janki,female
11931,mansi raghav,female
8298,pardeep mohauti,male
848,bahrat panday,male
12899,km preeti,female
13654,ruvi,female
14756,silpa jain,female
12479,bhatri,female
5402,tajwar singh ,male
14798,naina begum,female
14913,bhagwanti,female
8191,mustafa,male
12191,arati,female
14890,priya mali,female
12948,tamanna,female
5219,fitrat,male
7212,khadak singh,male
8769,dolley,female
2986,ram lakhan,male
1611,dhananjai,male
1278,rati pal,male
14290,kiran mala,female
1249,harkesh,male
6442,akash malik,male
8558,sashi devi ,female
12327,pooja jonwal,female
1627,omperkash,male
2202,govind bari ,male
9046,tahira,female
3898,mohd.amir,male
9024,pooja pandya,female
6879,neeraj,male
14002,anita kunwar,female
2363,madharam,male
11573,saloni,female
9817,moni devi,female
11609,kumari khusbu singh,female
5445,shri gulshan kumar,male
8166,dharmender singh,male
5790,sujata,male
12441,bhuri devi,female
1151,ashif,male
12282,roopam,female
1608,zishan khan,male
15098,nainshi,female
822,prami,male
12055,dhaneswar dass,female
5340,om prakash tyagi,male
8823,aisha khan,female
6209,amar deep,male
698,manish ,male
6237,sharukh khan,male
2852,ajay ,male
590,depander,male
1762,fakrudeen,male
14926,teja ram,female
8863,jenifer,female
5070,naresh garg,male
9946,mudrika,female
14366,santosh singal,female
6936,hoti lal,male
11506,ramesh yadav,female
8463,nathu lal sankhla,male
2628,subhan,male
4690,jaiveer singh,male
7204,mohd  javed,male
2045,aamir,male
7451,dheeraj chawla,male
4325,mansur ali,male
6443,kauva,male
5995,khursheed,male
13604,saranthem monika,female
4313,dhanpat,male
